country_code,country_name,is_benchmark,indicator_code,indicator_name,indicator_group,total_years,available_years,missing_years_count,missing_years,first_available_year,latest_available_year,coverage_rate
IDN,Indonesia,False,IT.CEL.SETS.P2,Mobile cellular subscriptions (per 100 people),DRI,10,10,0,[],2015,2024,1.0
IDN,Indonesia,False,IT.NET.BBND.P2,Fixed broadband subscriptions (per 100 people),DRI,10,10,0,[],2015,2024,1.0
IDN,Indonesia,False,IT.NET.USER.ZS,Individuals using the Internet (% of population),DRI,10,10,0,[],2015,2024,1.0
IDN,Indonesia,False,SL.AGR.EMPL.ZS,Employment in agriculture (% of total employment),EVI,10,10,0,[],2015,2024,1.0
IDN,Indonesia,False,SL.IND.EMPL.ZS,Employment in industry (% of total employment),EVI,10,10,0,[],2015,2024,1.0
IDN,Indonesia,False,SL.SRV.EMPL.ZS,Employment in services (% of total employment),EVI,10,10,0,[],2015,2024,1.0
IDN,Indonesia,False,SL.UEM.1524.ZS,Youth unemployment (% of total labor force ages 15-24),EVI,10,10,0,[],2015,2024,1.0
IDN,Indonesia,False,SL.UEM.TOTL.ZS,"Unemployment,total (% of total labor force)",EVI,10,10,0,[],2015,2024,1.0
KHM,Cambodia,False,IT.CEL.SETS.P2,Mobile cellular subscriptions (per 100 people),DRI,10,10,0,[],2015,2024,1.0
KHM,Cambodia,False,IT.NET.BBND.P2,Fixed broadband subscriptions (per 100 people),DRI,10,10,0,[],2015,2024,1.0
KHM,Cambodia,False,IT.NET.USER.ZS,Individuals using the Internet (% of population),DRI,10,10,0,[],2015,2024,1.0
KHM,Cambodia,False,SL.AGR.EMPL.ZS,Employment in agriculture (% of total employment),EVI,10,10,0,[],2015,2024,1.0
KHM,Cambodia,False,SL.IND.EMPL.ZS,Employment in industry (% of total employment),EVI,10,10,0,[],2015,2024,1.0
KHM,Cambodia,False,SL.SRV.EMPL.ZS,Employment in services (% of total employment),EVI,10,10,0,[],2015,2024,1.0
KHM,Cambodia,False,SL.UEM.1524.ZS,Youth unemployment (% of total labor force ages 15-24),EVI,10,10,0,[],2015,2024,1.0
KHM,Cambodia,False,SL.UEM.TOTL.ZS,"Unemployment,total (% of total labor force)",EVI,10,10,0,[],2015,2024,1.0
LAO,Laos,False,IT.CEL.SETS.P2,Mobile cellular subscriptions (per 100 people),DRI,10,9,1,[2024],2015,2023,0.9
LAO,Laos,False,IT.NET.BBND.P2,Fixed broadband subscriptions (per 100 people),DRI,10,9,1,[2024],2015,2023,0.9
LAO,Laos,False,IT.NET.USER.ZS,Individuals using the Internet (% of population),DRI,10,10,0,[],2015,2024,1.0
LAO,Laos,False,SL.AGR.EMPL.ZS,Employment in agriculture (% of total employment),EVI,10,10,0,[],2015,2024,1.0
LAO,Laos,False,SL.IND.EMPL.ZS,Employment in industry (% of total employment),EVI,10,10,0,[],2015,2024,1.0
LAO,Laos,False,SL.SRV.EMPL.ZS,Employment in services (% of total employment),EVI,10,10,0,[],2015,2024,1.0
LAO,Laos,False,SL.UEM.1524.ZS,Youth unemployment (% of total labor force ages 15-24),EVI,10,10,0,[],2015,2024,1.0
LAO,Laos,False,SL.UEM.TOTL.ZS,"Unemployment,total (% of total labor force)",EVI,10,10,0,[],2015,2024,1.0
MYS,Malaysia,False,IT.CEL.SETS.P2,Mobile cellular subscriptions (per 100 people),DRI,10,10,0,[],2015,2024,1.0
MYS,Malaysia,False,IT.NET.BBND.P2,Fixed broadband subscriptions (per 100 people),DRI,10,10,0,[],2015,2024,1.0
MYS,Malaysia,False,IT.NET.USER.ZS,Individuals using the Internet (% of population),DRI,10,10,0,[],2015,2024,1.0
MYS,Malaysia,False,SL.AGR.EMPL.ZS,Employment in agriculture (% of total employment),EVI,10,10,0,[],2015,2024,1.0
MYS,Malaysia,False,SL.IND.EMPL.ZS,Employment in industry (% of total employment),EVI,10,10,0,[],2015,2024,1.0
MYS,Malaysia,False,SL.SRV.EMPL.ZS,Employment in services (% of total employment),EVI,10,10,0,[],2015,2024,1.0
MYS,Malaysia,False,SL.UEM.1524.ZS,Youth unemployment (% of total labor force ages 15-24),EVI,10,10,0,[],2015,2024,1.0
MYS,Malaysia,False,SL.UEM.TOTL.ZS,"Unemployment,total (% of total labor force)",EVI,10,10,0,[],2015,2024,1.0
